"filename", "language", "C++", "JSON", "XML", "CMake", "Makefile", "Markdown", "CMake Cache", "C", "YAML", "TypeScript", "comment", "blank", "total"
"/Users/jamesweigand/Documents/porcupine/Indium/build/CMakeCache.txt", "CMake Cache", 0, 0, 0, 0, 0, 0, 315, 0, 0, 0, 0, 76, 391
"/Users/jamesweigand/Documents/porcupine/Indium/build/CMakeFiles/3.29.3/CMakeCCompiler.cmake", "CMake", 0, 0, 0, 63, 0, 0, 0, 0, 0, 0, 0, 18, 81
"/Users/jamesweigand/Documents/porcupine/Indium/build/CMakeFiles/3.29.3/CMakeCXXCompiler.cmake", "CMake", 0, 0, 0, 73, 0, 0, 0, 0, 0, 0, 0, 20, 93
"/Users/jamesweigand/Documents/porcupine/Indium/build/CMakeFiles/3.29.3/CMakeSystem.cmake", "CMake", 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 6, 16
"/Users/jamesweigand/Documents/porcupine/Indium/build/CMakeFiles/3.29.3/CompilerIdC/CMakeCCompilerId.c", "C", 0, 0, 0, 0, 0, 0, 0, 682, 0, 0, 61, 153, 896
"/Users/jamesweigand/Documents/porcupine/Indium/build/CMakeFiles/3.29.3/CompilerIdCXX/CMakeCXXCompilerId.cpp", "C++", 667, 0, 0, 0, 0, 0, 0, 0, 0, 0, 62, 150, 879
"/Users/jamesweigand/Documents/porcupine/Indium/build/CMakeFiles/CMakeConfigureLog.yaml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 384, 0, 4, 24, 412
"/Users/jamesweigand/Documents/porcupine/Indium/build/CMakeFiles/CMakeDirectoryInformation.cmake", "CMake", 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 5, 17
"/Users/jamesweigand/Documents/porcupine/Indium/build/CMakeFiles/Makefile.cmake", "CMake", 0, 0, 0, 46, 0, 0, 0, 0, 0, 0, 0, 6, 52
"/Users/jamesweigand/Documents/porcupine/Indium/build/CMakeFiles/indium.dir/DependInfo.cmake", "CMake", 0, 0, 0, 45, 0, 0, 0, 0, 0, 0, 0, 7, 52
"/Users/jamesweigand/Documents/porcupine/Indium/build/CMakeFiles/indium.dir/cmake_clean.cmake", "CMake", 0, 0, 0, 66, 0, 0, 0, 0, 0, 0, 0, 2, 68
"/Users/jamesweigand/Documents/porcupine/Indium/build/CMakeFiles/indium.dir/compiler_depend.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 1, 3
"/Users/jamesweigand/Documents/porcupine/Indium/build/Makefile", "Makefile", 0, 0, 0, 0, 591, 0, 0, 0, 0, 0, 132, 215, 938
"/Users/jamesweigand/Documents/porcupine/Indium/build/cmake_install.cmake", "CMake", 0, 0, 0, 42, 0, 0, 0, 0, 0, 0, 0, 8, 50
"/Users/jamesweigand/Documents/porcupine/Indium/build/compile_commands.json", "JSON", 0, 176, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 176
"/Users/jamesweigand/Documents/porcupine/Indium/pch/pch.h", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1
"/Users/jamesweigand/Documents/porcupine/Indium/porcupinetree/.VSCodeCounter/2025-01-15_21-16-53/details.md", "Markdown", 0, 0, 0, 0, 0, 55, 0, 0, 0, 0, 0, 6, 61
"/Users/jamesweigand/Documents/porcupine/Indium/porcupinetree/.VSCodeCounter/2025-01-15_21-16-53/diff-details.md", "Markdown", 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 6, 15
"/Users/jamesweigand/Documents/porcupine/Indium/porcupinetree/.VSCodeCounter/2025-01-15_21-16-53/diff.md", "Markdown", 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 7, 19
"/Users/jamesweigand/Documents/porcupine/Indium/porcupinetree/.VSCodeCounter/2025-01-15_21-16-53/results.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/jamesweigand/Documents/porcupine/Indium/porcupinetree/.VSCodeCounter/2025-01-15_21-16-53/results.md", "Markdown", 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 7, 27
"/Users/jamesweigand/Documents/porcupine/Indium/porcupinetree/.VSCodeCounter/2025-01-15_21-20-56/details.md", "Markdown", 0, 0, 0, 0, 0, 64, 0, 0, 0, 0, 0, 6, 70
"/Users/jamesweigand/Documents/porcupine/Indium/porcupinetree/.VSCodeCounter/2025-01-15_21-20-56/diff-details.md", "Markdown", 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 6, 24
"/Users/jamesweigand/Documents/porcupine/Indium/porcupinetree/.VSCodeCounter/2025-01-15_21-20-56/diff.md", "Markdown", 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 7, 21
"/Users/jamesweigand/Documents/porcupine/Indium/porcupinetree/.VSCodeCounter/2025-01-15_21-20-56/results.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
